sector,sub_sector,value_rm_mil,share_total_pct,share_in_sector_pct,colour,x0,y0,x1,y1,w,h,short_name,cx,cy
Manufacturing,Electrical & Electronic  Products (E&E),71668.52,48.73,54.78,#534AB7,0.0,0.0,386.98,251.84,386.98,251.84,E&E Products,193.49,125.92
Manufacturing,Other Manufactures,7818.94,5.32,5.98,#534AB7,0.0,251.84,138.04,328.86,138.04,77.03,Other Mfg.,69.02,290.35
Manufacturing,"Machinery, Equipment And Parts",7221.04,4.91,5.52,#534AB7,0.0,328.86,138.04,400.0,138.04,71.14,Machinery & Equip.,69.02,364.43
Manufacturing,Manufacture Of Metal,6767.19,4.6,5.17,#534AB7,138.04,251.84,261.24,326.53,123.2,74.69,Metal Products,199.64,289.185
Manufacturing,Optical & Scientific Equipment,6656.54,4.53,5.09,#534AB7,138.04,326.53,261.24,400.0,123.2,73.47,Optical & Sci.,199.64,363.265
Manufacturing,Chemical And Chemical Products (Exclude Plastics In Non-Primary Forms),4784.77,3.25,3.66,#534AB7,261.24,251.84,353.68,322.23,92.44,70.39,Chemicals,307.46000000000004,287.035
Manufacturing,Rubber Products,1723.91,1.17,1.32,#534AB7,353.68,251.84,386.98,322.23,33.3,70.39,Rubber,370.33,287.035
Manufacturing,Transport Equipment,1602.49,1.09,1.22,#534AB7,261.24,322.23,313.33,364.05,52.1,41.83,Transport Equip.,287.285,343.14
Manufacturing,Iron And Steel Products,1377.08,0.94,1.05,#534AB7,261.24,364.05,313.33,400.0,52.1,35.95,Iron & Steel,287.285,382.025
Manufacturing,Manufacture Of Plastics,1375.85,0.94,1.05,#534AB7,313.33,322.23,351.7,370.99,38.37,48.76,Plastics,332.515,346.61
Manufacturing,"Textiles,  Apparels And Footwear",1265.22,0.86,0.97,#534AB7,351.7,322.23,386.98,370.99,35.28,48.76,Textiles,369.34,346.61
Manufacturing,Non-Metallic Mineral Products,1061.96,0.72,0.81,#534AB7,313.33,370.99,363.11,400.0,49.78,29.01,Non-Metallic,338.22,385.495
Manufacturing,Jewellery,509.18,0.35,0.39,#534AB7,363.11,370.99,386.98,400.0,23.87,29.01,Jewellery,375.045,385.495
Energy & Mining,Petroleum Products,9268.5,6.3,7.08,#D85A30,386.98,0.0,500.0,111.52,113.02,111.52,Petroleum,443.49,55.76
Energy & Mining,Liquefied Natural Gas (LNG),4512.05,3.07,51.89,#D85A30,386.98,111.52,446.1,215.3,59.12,103.79,LNG,416.54,163.41
Energy & Mining,Metalliferous Ores and Metal Scrap,1775.72,1.21,20.42,#D85A30,446.1,111.52,500.0,156.31,53.9,44.8,Metal Ores,473.05,133.915
Energy & Mining,Crude Petroleum,1632.4,1.11,18.77,#D85A30,446.1,156.31,500.0,197.49,53.9,41.18,Crude Oil,473.05,176.9
Energy & Mining,Condensates and other petroleum oil,570.72,0.39,6.56,#D85A30,446.1,197.49,489.68,215.3,43.58,17.81,Condensates,467.89,206.395
Energy & Mining,Tin,134.93,0.09,1.55,#D85A30,489.68,197.49,500.0,215.27,10.32,17.77,Tin,494.84,206.38
Energy & Mining,Other Mining,0.28,0.0,0.0,#D85A30,489.68,215.27,500.0,215.3,10.32,0.04,Other Mining,494.84,215.28500000000005
Agriculture & Food,Palm Oil and Palm-Based Products,5451.02,3.71,72.18,#1D9E75,386.98,215.3,500.0,280.89,113.02,65.59,Palm Oil,443.49,248.095
Agriculture & Food,Palm Oil-Based Manufactured Products,3005.42,2.04,2.3,#1D9E75,386.98,280.89,448.06,347.8,61.08,66.91,Palm Oil Mfg.,417.52,314.345
Agriculture & Food,Processed Food,2555.76,1.74,1.95,#1D9E75,448.06,280.89,500.0,347.8,51.94,66.91,Processed Food,474.03,314.345
Agriculture & Food,Paper & Pulp Products,994.83,0.68,0.76,#1D9E75,386.98,347.8,437.65,374.5,50.67,26.7,Paper & Pulp,412.315,361.15
Agriculture & Food,Wood Products,950.25,0.65,0.73,#1D9E75,386.98,374.5,437.65,400.0,50.67,25.5,Wood,412.315,387.25
Agriculture & Food,Other Agriculture,922.68,0.63,12.22,#1D9E75,437.65,347.8,472.97,383.32,35.33,35.52,Other Agri.,455.31,365.56
Agriculture & Food,Other Vegetables Oil,433.41,0.29,5.74,#1D9E75,437.65,383.32,472.97,400.0,35.33,16.68,Other Veg. Oil,455.31,391.66
Agriculture & Food,Natural Rubber,259.41,0.18,3.43,#1D9E75,472.97,347.8,486.73,373.45,13.75,25.65,Nat. Rubber,479.85,360.625
Agriculture & Food,Sawn Timber & Moulding,250.35,0.17,3.31,#1D9E75,486.73,347.8,500.0,373.45,13.27,25.65,Sawn Timber,493.365,360.625
Agriculture & Food,Beverages & Tobacco,223.66,0.15,0.17,#1D9E75,472.97,373.45,494.25,387.74,21.28,14.3,Bev. & Tobacco,483.61,380.595
Agriculture & Food,"Seafood, fresh, chilled or frozen",191.81,0.13,2.54,#1D9E75,472.97,387.74,494.25,400.0,21.28,12.26,Seafood,483.61,393.87
Agriculture & Food,Crude Fertilizers And Crude Minerals,68.62,0.05,0.79,#1D9E75,494.25,373.45,500.0,389.67,5.75,16.22,Fertilizers,497.125,381.56
Agriculture & Food,Sawlog,43.69,0.03,0.58,#1D9E75,494.25,389.67,500.0,400.0,5.75,10.33,Sawlog,497.125,394.835
